,ARS,Heights
0,ARS102,1.2857142857142876
1,ARS102.5,0.4183673469387691
2,ARS103,0.3673469387754911
3,ARS104,3.1020408163265105
4,ARS105,0.9081632653060968
5,ARS106,12.11224489795916
6,ARS107,23.35714285714279
7,ARS107.5,4.581632653061191
8,ARS108,164.20408163265307
9,ARS109,142.0816326530613
10,ARS110,212.71428571428572
11,ARS111,0.5408163265306045
12,ARS112,0.4489795918367933
13,ARS113,0.5306122448980387
14,ARS200,54.438775510204074
15,ARS201,22.530612244897956
16,ARS201.5,7.316326530612218
17,ARS201.7,0.8265306122448722
18,ARS202,160.06122448979602
19,ARS203,0.6938775510204465
20,ARS206,0.8061224489795976
21,ARS207,3.010204081632651
22,ARS207.1,1.1938775510203947
23,ARS207.5,99.93877551020408
24,ARS207.8,6.44897959183679
25,ARS208,260.3061224489796
26,ARS209,276.31632653061234
27,ARS210.5,0.7244897959182836
28,ARS211,37.97959183673473
29,ARS212,9.295918367346975
30,ARS213,3.122448979591815
31,ARS214,108.37755102040822
32,ARS215,3.0816326530613356
33,ARS215.5,0.34693877551016444
34,ARS216,59.74489795918367
35,ARS217,0.62244897959184
36,ARS218,0.8061224489795931
37,ARS219,1.9897959183672846
38,ARS219.5,3.70408163265301
39,ARS220,134.3571428571429
40,ARS221,23.591836734693864
41,ARS221.5,0.45918367346939626
42,ARS222,2.4489795918367396
43,ARS222.5,1.4183673469387783
44,ARS223,0.581632653061263
45,ARS224,0.7244897959183993
46,ARS225,1.5306122448979484
47,ARS227,2.5714285714285703
48,ARS228,2.316326530612242
49,ARS228.5,5.020408163265312
50,ARS229,18.571428571428562
51,ARS300,0.42857142857143915
52,ARS301,0.43877551020412286
53,ARS302,0.5000000000000592
54,ARS302,0.4081632653061547
55,ARS303,0.42857142857145847
56,ARS320,0.4387755102041194
57,ARS304,19.071428571428527
58,ARS305,276.33673469387753
59,ARS306,269.29591836734687
60,ARS307,235.4591836734693
61,ARS308,47.591836734693864
62,ARS309,120.19387755102042
63,ARS310,80.4285714285714
64,ARS313,0.6020408163265438
65,ARS314,0.4387755102040319
66,ARS314.5,0.4183673469388714
67,ARS315,84.31632653061219
68,ARS316,1.1530612244896838
69,ARS317,0.30612244897962
70,ARS318,0.8775510204081854
71,ARS319,1.8265306122448852
72,ARS400,0.8775510204081566
73,ARS403,0.9081632653061175
74,ARS402.5,0.40816326530615
75,ARS404,6.969387755102068
76,ARS405,1.6020408163265356
77,ARS405.5,0.47959183673467876
78,ARS406,17.336734693877514
79,ARS407,0.8877551020408163
80,ARS408,0.43877551020408406
81,ARS409,10.142857142857126
82,ARS409.3,4.459183673469377
83,ARS409.5,2.4795918367346865
84,ARS410,1.2755102040816413
85,ARS412,4.612244897959192
86,ARS413,95.6122448979592
87,ARS413.5,0.44897959183677943
88,ARS414,67.46938775510206
89,ARS415,182.80612244897964
90,ARS416,186.75510204081633
91,ARS417,45.928571428571395
92,ARS417.5,36.33673469387755
93,ARS418,263.7857142857142
94,ARS419,33.82653061224492
95,ARS420,4.214285714285733
96,ARS421,4.469387755102095
97,ARS422,2.806122448979559
98,ARS422.5,1.7551020408163516
99,ARS423,1.3265306122449305
100,ARS425,7.7142857142857
101,ARS426.5,0.8877551020407866
102,ARS427.5,10.68367346938766
103,ARS428,277.2346938775511
104,ARS429,36.88775510204078
105,ARS429.5,0.44897959183669534
106,ARS430,57.122448979591816
107,ARS430.5,0.46938775510203884
108,ARS431,20.479591836734723
109,ARS431.5,1.1122448979591972
110,ARS431.7,0.2551020408162942
111,ARS432,158.3265306122449
112,ARS432.5,201.46938775510205
113,ARS433,2.8877551020408134
114,ARS434,1.2142857142856964
115,ARS435,4.357142857142848
116,ARS437,9.693877551020432
117,ARS439.5,0.9285714285714043
118,ARS440,1.785714285714279
119,ARS441,2.2755102040816104
120,ARS442,33.204081632653065
121,ARS446,1.030612244897802
122,ARS447,4.836734693877562
123,ARS502,49.877551020408184
124,ARS503,21.653061224489793
125,ARS504,3.8469387755102082
126,ARS504.2,1.4387755102040836
127,ARS507,166.9591836734695
128,ARS508,276.1428571428574
129,ARS510,265.2448979591837
130,ARS511,214.97959183673476
131,ARS511.5,12.08163265306123
132,ARS512,8.010204081632601
133,ARS513.5,1.7755102040816078
134,ARS513.7,2.7755102040815927
135,ARS514,59.95918367346949
136,ARS514.5,1.4591836734693522
137,ARS516,137.17346938775506
138,ARS517,36.122448979591866
139,ARS518,77.06122448979592
140,ARS519,38.34693877551025
141,ARS520,49.999999999999844
142,ARS521,0.6224489795918645
143,ARS522,3.489795918367367
144,ARS523,32.020408163265294
145,ARS600.1,16.755102040816347
146,ARS600.2,0.4387755102040669
147,ARS600.3,1.520408163265298
148,ARS600.4,1.6734693877550968
149,ARS601,0.6734693877550523
150,ARS602,0.6836734693877224
151,ARS603,2.408163265306113
152,ARS603.1,4.836734693877566
153,ARS603.5,90.59183673469386
154,ARS604,12.95918367346935
155,ARS605,83.4795918367347
156,ARS606,196.46938775510202
157,ARS607,255.55102040816317
158,ARS608,13.163265306122474
159,ARS608.5,0.7755102040817587
160,ARS609,0.8979591836735711
161,ARS610,0.2959183673469437
162,ARS700.5,5.775510204081614
163,ARS702,5.11224489795919
164,ARS704,5.459183673469375
165,ARS706,1.255102040816327
166,ARS707,34.95918367346942
167,ARS709,1.0204081632652822
168,ARS710,87.3775510204082
169,ARS711,0.37755102040810956
170,ARS712,0.642857142857152
171,ARS714,114.9081632653062
172,ARS716,5.234693877551052
173,ARS717,73.56122448979592
174,ARS718,151.38775510204076
