,ARS,Heights
0,ARS102,59.42857142857143
1,ARS102.5,17.86734693877551
2,ARS103,23.40816326530613
3,ARS104,61.04081632653064
4,ARS105,60.96938775510206
5,ARS106,52.59183673469385
6,ARS107,86.72448979591833
7,ARS107.5,4.408163265306108
8,ARS108,81.28571428571428
9,ARS109,73.33673469387759
10,ARS110,120.32653061224491
11,ARS111,24.438775510204028
12,ARS112,17.11224489795924
13,ARS113,21.163265306122486
14,ARS200,133.02040816326527
15,ARS201,107.77551020408161
16,ARS201.5,53.255102040816354
17,ARS201.7,11.775510204081606
18,ARS202,126.65306122448986
19,ARS203,51.58163265306127
20,ARS206,49.01020408163266
21,ARS207,60.663265306122454
22,ARS207.1,70.06122448979592
23,ARS207.5,95.97959183673471
24,ARS207.8,11.76530612244896
25,ARS208,125.26530612244898
26,ARS209,112.1224489795919
27,ARS210.5,5.795918367346901
28,ARS211,102.91836734693884
29,ARS212,28.755102040816336
30,ARS213,59.97959183673466
31,ARS214,90.52040816326529
32,ARS215,56.867346938775555
33,ARS215.5,4.030612244897897
34,ARS216,101.33673469387757
35,ARS217,52.22448979591839
36,ARS218,25.418367346938794
37,ARS219,55.204081632653036
38,ARS219.5,17.673469387755055
39,ARS220,110.30612244897961
40,ARS221,60.826530612244895
41,ARS221.5,14.88775510204081
42,ARS222,58.79591836734695
43,ARS222.5,13.07142857142861
44,ARS223,25.275510204081684
45,ARS224,64.69387755102044
46,ARS225,62.0714285714286
47,ARS227,21.316326530612216
48,ARS228,61.122448979591866
49,ARS228.5,27.010204081632654
50,ARS229,73.85714285714285
51,ARS300,44.724489795918366
52,ARS301,28.051020408163282
53,ARS302,41.908163265306136
54,ARS302,30.816326530612248
55,ARS303,29.357142857142854
56,ARS320,27.061224489795908
57,ARS304,17.877551020408152
58,ARS305,138.77551020408163
59,ARS306,130.20408163265304
60,ARS307,131.13265306122446
61,ARS308,40.4081632653061
62,ARS309,114.88775510204076
63,ARS310,96.60204081632652
64,ARS313,69.6020408163265
65,ARS314,76.54081632653055
66,ARS314.5,2.3673469387755426
67,ARS315,109.99999999999993
68,ARS316,49.6326530612244
69,ARS317,40.97959183673469
70,ARS318,41.97959183673472
71,ARS319,43.602040816326515
72,ARS400,27.153061224489825
73,ARS403,37.0918367346939
74,ARS402.5,6.3367346938775855
75,ARS404,65.47959183673474
76,ARS405,74.68367346938777
77,ARS405.5,8.081632653061188
78,ARS406,70.03061224489797
79,ARS407,20.326530612244927
80,ARS408,17.948979591836743
81,ARS409,50.66326530612247
82,ARS409.3,20.255102040816308
83,ARS409.5,27.18367346938775
84,ARS410,56.47959183673472
85,ARS412,75.08163265306126
86,ARS413,111.06122448979595
87,ARS413.5,3.9897959183673906
88,ARS414,103.31632653061227
89,ARS415,106.27551020408166
90,ARS416,130.72448979591837
91,ARS417,80.15306122448976
92,ARS417.5,65.44897959183676
93,ARS418,110.0918367346938
94,ARS419,75.76530612244902
95,ARS420,55.41836734693881
96,ARS421,70.6224489795919
97,ARS422,71.99999999999999
98,ARS422.5,21.602040816326493
99,ARS423,51.57142857142859
100,ARS425,68.34693877551018
101,ARS426.5,6.632653061224497
102,ARS427.5,8.989795918367347
103,ARS428,110.84693877551022
104,ARS429,62.53061224489797
105,ARS429.5,9.734693877551006
106,ARS430,81.61224489795914
107,ARS430.5,22.775510204081627
108,ARS431,85.33673469387759
109,ARS431.5,45.061224489795926
110,ARS431.7,5.642857142857125
111,ARS432,103.5816326530612
112,ARS432.5,99.85714285714286
113,ARS433,63.51020408163264
114,ARS434,64.73469387755101
115,ARS435,63.612244897959165
116,ARS437,70.30612244897961
117,ARS439.5,53.857142857142826
118,ARS440,52.09183673469388
119,ARS441,59.714285714285644
120,ARS442,91.10204081632658
121,ARS446,43.19387755102034
122,ARS447,57.64285714285717
123,ARS502,122.24489795918369
124,ARS503,95.3469387755102
125,ARS504,43.489795918367356
126,ARS504.2,27.74489795918366
127,ARS507,111.97959183673476
128,ARS508,141.66326530612253
129,ARS510,123.12244897959181
130,ARS511,124.75510204081637
131,ARS511.5,35.91836734693881
132,ARS512,56.48979591836737
133,ARS513.5,62.653061224489754
134,ARS513.7,68.99999999999997
135,ARS514,102.5816326530613
136,ARS514.5,5.102040816326505
137,ARS516,117.06122448979592
138,ARS517,62.48979591836735
139,ARS518,112.56122448979595
140,ARS519,43.948979591836796
141,ARS520,70.25510204081627
142,ARS521,20.765306122449015
143,ARS522,65.47959183673478
144,ARS523,126.06122448979599
145,ARS600.1,115.80612244897964
146,ARS600.2,32.173469387755084
147,ARS600.3,49.54081632653063
148,ARS600.4,55.26530612244895
149,ARS601,46.806122448979586
150,ARS602,46.8673469387755
151,ARS603,48.76530612244899
152,ARS603.1,10.816326530612237
153,ARS603.5,108.35714285714282
154,ARS604,46.836734693877546
155,ARS605,83.80612244897956
156,ARS606,120.7551020408163
157,ARS607,142.1122448979592
158,ARS608,62.48979591836738
159,ARS608.5,23.693877551020464
160,ARS609,54.90816326530618
161,ARS610,17.897959183673485
162,ARS700.5,61.70408163265308
163,ARS702,65.75510204081635
164,ARS704,56.51020408163267
165,ARS706,30.642857142857142
166,ARS707,82.89795918367352
167,ARS709,48.73469387755102
168,ARS710,79.09183673469394
169,ARS711,9.367346938775466
170,ARS712,40.63265306122453
171,ARS714,102.09183673469393
172,ARS716,69.56122448979595
173,ARS717,93.03061224489798
174,ARS718,109.0612244897958
175,ARS719,109.01020408163266
176,ARS720,107.01020408163265
177,ARS721,35.26530612244903
178,ARS722,74.9591836734694
179,ARS724.5,10.102040816326559
180,ARS726,40.41836734693878
181,ARS727,62.295918367346964
182,ARS728,93.27551020408163
183,ARS729,113.31632653061227
184,ARS731,110.33673469387762
185,ARS731.5,143.8571428571429
186,ARS732,45.173469387755134
187,ARS733,53.44897959183674
188,ARS734,78.82653061224498
189,ARS735,37.22448979591846
190,ARS735.5,41.30612244897962
191,ARS131a,115.95918367346938
192,ARS131n,105.84693877551022
193,ARS802,71.31632653061233
194,ARS804,64.73469387755102
195,ARS805,84.99999999999997
196,ARS805.5,0.7959183673469609
197,ARS805.7,56.316326530612244
198,ARS807,98.64285714285715
199,ARS808,7.9591836734694
200,ARS809,72.20408163265306
201,ARS810,147.5612244897958
202,ARS813,85.61224489795917
203,ARS815,103.9285714285714
204,ARS816,61.16326530612242
205,ARS818,47.53061224489796
206,ARS818.5,7.642857142857143
207,ARS820,117.51020408163266
208,ARS821,35.62244897959186
209,ARS822,78.70408163265304
210,ARS823,49.90816326530612
211,ARS823.5,25.408163265306225
212,ARS824,123.45918367346934
213,ARS905,65.17346938775515
214,ARS907,79.91836734693888
215,ARS908,35.57142857142863
216,ARS909,86.02040816326539
217,ARS911,49.724489795918444
218,ARS911.5,10.102040816326499
219,ARS912,74.97959183673476
220,ARS913,117.6632653061226
221,ARS913.5,76.57142857142867
222,ARS914,88.53061224489808
223,ARS916,84.32653061224495
224,ARS919,94.79591836734704
225,ARS920,102.97959183673476
226,ARS922,135.04081632653075
227,ARS922.5,18.163265306122423
228,ARS1001,164.98979591836735
229,ARS1002,130.64285714285714
230,ARS1003,40.653061224489775
231,ARS1004,55.295918367346935
232,ARS1005,92.23469387755095
233,ARS1006,88.30612244897954
234,ARS1007,57.57142857142858
235,ARS1007.5,46.17346938775508
236,ARS1008,87.79591836734686
237,ARS1009,64.82653061224484
238,ARS1009.5,10.836734693877574
239,ARS1010,46.581632653061185
240,ARS1011,61.41836734693875
241,ARS1012,117.24489795918367
242,ARS1013,112.87755102040818
243,ARS1014,131.10204081632642
244,ARS1015,121.64285714285712
245,ARS1016,56.408163265306115
246,ARS1017,37.9081632653061
247,ARS1017.5,3.744897959183641
248,ARS1018,121.84693877551013
249,ARS1018.5,58.70408163265298
250,ARS1019,117.20408163265301
251,ARS1020,62.520408163265344
252,ARS1021,170.82653061224488
253,ARS1022,50.806122448979465
254,ARS1023,38.31632653061223
255,ARS1024,44.3061224489796
256,ARS1025,42.91836734693887
257,ARS1102.5,32.030612244897995
258,ARS1103,106.03061224489794
259,ARS1104.5,92.75510204081631
260,ARS1105.5,5.581632653061272
261,ARS1106,88.2755102040816
262,ARS1106.3,36.326530612244866
263,ARS1106.5,13.846938775510155
264,ARS1106.7,90.20408163265303
265,ARS1107,103.54081632653057
266,ARS1107.5,104.05102040816323
267,ARS1109,118.06122448979592
268,ARS1112,59.58163265306121
269,ARS1113,98.33673469387753
270,ARS1113.5,71.41836734693871
271,ARS1114,118.63265306122447
272,ARS1114.5,83.79591836734691
273,ARS1116,59.71428571428569
274,ARS1117,55.45918367346935
275,ARS1118,73.97959183673468
276,ARS1120,61.40816326530611
277,ARS1123,59.5612244897959
278,ARS1203,34.234693877550804
279,ARS1205,73.12244897959182
280,ARS1206,95.76530612244913
281,ARS1206.5,78.58163265306149
282,ARS1208,20.234693877550683
283,ARS1209,128.5102040816326
284,ARS1210,55.39795918367331
285,ARS1211,108.93877551020424
286,ARS1211.5,54.55102040816421
287,ARS1212,60.31632653061216
288,ARS1212.5,65.98979591836722
289,ARS1213,124.5
290,ARS1215,123.53061224489821
291,ARS1216,526.969387755103
292,ARS1216.5,6054.530612244901
293,ARS1217,96.46938775510199
294,ARS1218,129.7040816326533
295,ARS1219,76.91836734693885
296,ARS1219.7,22.75510204081631
297,ARS1220,86.89795918367345
298,ARS1220.5,37.26530612244581
299,ARS1222,78.44897959183659
300,ARS1223,102.87755102040794
301,ARS1226,80.2551020408161
302,ARS1227,47.989795918367335
303,ARS1227.5,53.02040816326536
304,ARS1229,55.59183673469401
305,ARS1231,60.265306122449076
306,ARS1232,60.72448979591845
307,ARS1233,33.265306122449026
308,ARS1234,55.010204081632644
309,ARS1235,26.663265306122334
310,ARS1303,103.41836734693885
311,ARS1304,35.581632653061156
312,ARS1304.5,3.163265306122428
313,ARS1304.7,8.153061224489802
314,ARS1305,70.66326530612248
315,ARS1307,116.94897959183675
316,ARS1307.5,63.377551020408184
317,ARS1308,91.85714285714289
318,ARS1309,136.11224489795916
319,ARS1310,109.29591836734697
320,ARS1312,74.37755102040819
321,ARS1315,63.39795918367349
322,ARS1316,35.30612244897961
323,ARS1319,50.63265306122448
324,ARS1320,110.12244897959187
325,ARS1322,69.74489795918375
326,ARS1323,79.11224489795919
327,ARS1324,65.76530612244903
328,ARS1325,105.92857142857152
329,ARS1326,59.989795918367314
330,ARS1327,75.41836734693881
331,ARS1328,49.74489795918367
332,ARS1329,50.75510204081632
333,ARS1330,122.6326530612245
334,ARS1331.5,13.724489795918355
335,ARS1331.7,45.122448979591894
336,ARS1332,117.51020408163264
337,ARS1405,37.03061224489797
338,ARS1406,61.81632653061228
339,ARS1407,77.69387755102045
340,ARS1410,50.09183673469395
341,ARS1411,64.14285714285724
342,ARS1412,60.469387755102126
343,ARS1413,62.43877551020419
344,ARS1414,74.75510204081638
345,ARS1415,109.69387755102053
346,ARS1311.7,51.58163265306131
347,ARS1417,78.38775510204097
348,ARS1419,75.12244897959192
349,ARS1420,58.367346938775555
350,ARS1421,120.60204081632662
351,ARS1422,90.75510204081641
352,ARS1424,113.61224489795934
353,ARS1426,101.59183673469404
354,ARS1427,65.40816326530629
355,ARS1428,51.78571428571429
356,ARS1428.5,55.724489795918444
357,ARS1429,44.8163265306123
358,ARS1506.5,85.93877551020415
359,ARS1507,58.30612244897953
360,ARS1508,78.07142857142861
361,ARS1509,128.25510204081644
362,ARS1509.3,7.459183673469362
363,ARS1509.5,14.622448979591752
364,ARS1510,116.94897959183679
365,ARS1510.5,109.27551020408166
366,ARS1511,140.13265306122454
367,ARS1512,71.74489795918363
368,ARS1513,117.87755102040815
369,ARS1513.5,103.1938775510205
370,ARS1514,73.98979591836736
371,ARS1515.5,62.65306122448984
372,ARS1515.7,23.500000000000046
373,ARS1516,77.95918367346944
374,ARS1517,35.90816326530617
375,ARS1519,68.50000000000007
376,ARS1520,43.38775510204082
377,ARS1521,48.35714285714292
378,ARS1523,78.19387755102046
379,ARS1524,45.010204081632644
380,ARS1525,90.69387755102045
381,ARS1526,61.17346938775513
382,ARS1528,82.15306122448983
383,ARS1529,73.4081632653061
384,ARS1529.5,112.98979591836738
385,ARS1601,105.7551020408163
386,ARS1602,21.28571428571432
387,ARS1604,74.4489795918367
388,ARS1605,91.39795918367341
389,ARS1607,65.01020408163264
390,ARS1609,47.030612244897966
391,ARS1614,106.8367346938775
392,ARS1617,33.99999999999995
393,ARS1618,92.39795918367348
394,ARS1618.5,62.20408163265303
395,ARS1619,106.56122448979589
396,ARS1620.5,48.19387755102046
397,ARS1621,70.52040816326529
398,ARS1622,114.63265306122452
399,ARS1622.5,104.23469387755102
400,ARS1622.7,51.204081632653065
401,ARS1623,124.81632653061213
402,ARS1624,90.66326530612238
403,ARS1625,76.26530612244896
404,ARS1626,56.87755102040815
405,ARS1626.5,110.42857142857139
406,ARS1627,96.04081632653056
407,ARS1628,86.3571428571428
408,ARS1630,60.15306122448975
409,ARS1631,47.153061224489846
